,ids,Chemistry,Physics,Signals Processing,Calculus,Electrical Engineering I,Engineering Drawing,Bioengineering I,Computer Science I,Linear Algebra,Mechanics I,Quantum Computing I,Metallurgy I,Metallurgy II,DSA,Probability and Statistics,Theory of Computation,Chemistry Lab,Mechanics Workshop,Physics Lab,Biochemistry Lab,Computer Architecture,Works of Charles Dickens,Electronics,UI Design I,Thermodynamics,Operating Systems,Machine Learning I,Works of Arthur Conan Doyle,Works of George Lucas,Works of Tolkien,Commonwealth Literature,Works of Shakespeare
41,R042,6.0,7.0,7.0,5.0,5.0,6.0,6.0,8.0,7.0,6.0,7.0,9.0,7.0,4.0,8.0,5.0,6.0,6.0,7.0,9.0,5.0,7.0,6.0,9.0,5.0,5.0,7.0,7.0,7.0,7.0,4.0,7.0
42,R043,9.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,9.0,7.0,7.0,8.0,6.0,9.0,6.0,8.0,9.0,7.0,7.0,8.0,8.0,8.0,7.0,5.0,8.0,7.0,7.0,7.0,7.0
43,R044,8.0,8.0,6.0,9.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0
44,R045,6.0,8.0,7.0,8.0,6.0,8.0,6.0,7.0,6.0,6.0,7.0,9.0,7.0,4.0,7.0,4.0,7.0,8.0,6.0,9.0,5.0,8.0,6.0,8.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0
45,R046,7.0,8.0,8.0,9.0,10.0,7.0,10.0,10.0,9.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,10.0,7.0,9.0,9.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,7.0
46,R047,9.0,8.0,10.0,9.0,7.0,10.0,8.0,9.0,9.0,7.0,7.0,9.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,8.0,5.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,4.0,7.0
47,R048,9.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,7.0,9.0,6.0,7.0,7.0,7.0,8.0,7.0,8.0,10.0,8.0,7.0,7.0,8.0,8.0,6.0,8.0,7.0,10.0,7.0,7.0,7.0
48,R049,9.0,9.0,10.0,7.0,8.0,7.0,8.0,9.0,9.0,9.0,7.0,9.0,9.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,8.0,7.0,9.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0,7.0,7.0
49,R050,8.0,9.0,7.0,9.0,10.0,7.0,9.0,8.0,9.0,8.0,7.0,10.0,5.0,6.0,7.0,5.0,10.0,8.0,10.0,10.0,6.0,7.0,7.0,8.0,5.0,4.0,8.0,7.0,7.0,7.0,10.0,7.0
50,R051,8.0,9.0,8.0,7.0,10.0,8.0,10.0,9.0,10.0,8.0,7.0,9.0,7.0,7.0,9.0,6.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,9.0,9.0,6.0,8.0,7.0,7.0,9.0,7.0,7.0
51,R052,9.0,10.0,10.0,7.0,9.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,7.0,7.0,8.0,6.0,7.0,9.0,9.0,8.0,9.0,7.0,7.0,7.0,8.0,5.0,7.0,7.0,9.0,7.0,7.0,7.0
52,R053,9.0,9.0,8.0,9.0,10.0,8.0,7.0,8.0,10.0,7.0,8.0,9.0,8.0,8.0,8.0,5.0,7.0,5.0,8.0,6.0,9.0,7.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0
53,R054,9.0,10.0,9.0,9.0,10.0,7.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,9.0,7.0,5.0,8.0,8.0,9.0,7.0,8.0,7.0,7.0,9.0,7.0,6.0,8.0,7.0,7.0,9.0,7.0,7.0
54,R055,9.0,8.0,9.0,10.0,10.0,9.0,7.0,7.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,5.0,8.0,7.0,7.0,10.0,7.0,7.0,6.0,8.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0
55,R056,8.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,7.0,10.0,8.0,8.0,9.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0
56,R057,7.0,10.0,7.0,7.0,10.0,10.0,7.0,10.0,10.0,9.0,7.0,9.0,7.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,7.0,8.0,10.0,6.0,9.0,8.0,7.0,10.0,7.0,7.0,7.0
57,R058,9.0,10.0,10.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,6.0,9.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,5.0,7.0,7.0,7.0,8.0,5.0,6.0,9.0,7.0,7.0,7.0,6.0,7.0
58,R059,8.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,6.0,7.0,5.0,7.0,4.0,7.0,7.0,8.0,8.0,8.0,6.0,8.0,10.0,7.0,7.0,7.0,7.0
59,R060,7.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,7.0,7.0,9.0,8.0,8.0,9.0,7.0,9.0,10.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,10.0,7.0,7.0,7.0
60,R061,8.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,7.0,10.0,7.0,9.0,8.0,7.0,8.0,7.0,8.0,7.0,10.0,10.0,8.0,7.0,8.0,9.0,8.0,9.0,10.0,10.0,7.0,7.0,7.0,7.0
